Borough,Own Outright,Buying with mortgage
Barking and Dagenham,18.5,31.9
Barnet,30.3,30.2
Bexley,35.6,37.5
Brent,20,25.1
Bromley,31.8,40.2
Camden,19.5,15
Croydon,23.6,42.8
Ealing,27.2,30.2
Enfield,27,33.5
Greenwich,16.5,29.2
Hackney,11.8,22.8
Hammersmith and Fulham,20.4,20
Haringey,18.5,27.4
Harrow,27.4,38.4
Havering,37,38.3
Hillingdon,24.4,38.9
Hounslow,20.9,28.1
Islington,13.6,22
Kensington and Chelsea,25.8,15
Kingston upon Thames,32.4,32.1
Lambeth,15.2,27.3
Lewisham,16.1,29.4
Merton,22.9,37.2
Newham,14.4,21.2
Redbridge,31.9,35.7
Richmond upon Thames,29.9,33.9
Southwark,9.6,23.1
Sutton,26.6,44.7
Tower Hamlets,8.9,16.2
Waltham Forest,21.7,26.2
Wandsworth,16.5,28.7
Westminster,20.2,12.2
Inner London,15.9,22.1
Outer London,26.6,34.4
London,22.1,29.3
