Borough,Own Outright,Buying with mortgage
Barking and Dagenham,21.6,32.4
Barnet,27.7,35
Bexley,28.5,47.2
Brent,21.3,32.3
Bromley,34,40.6
Camden,16.2,19.1
Croydon,28.7,38.8
Ealing,25.4,38
Enfield,24.7,41.5
Greenwich,15.8,38.8
Hackney,8.2,19.7
Hammersmith and Fulham,18.6,26.2
Haringey,18.7,31.4
Harrow,31.7,38.2
Havering,35.5,43.6
Hillingdon,29,40.2
Hounslow,22.4,41
Islington,11.6,25.9
Kensington and Chelsea,24.6,20
Kingston upon Thames,24,47.8
Lambeth,16.9,23
Lewisham,14.1,31.3
Merton,26.4,38.7
Newham,16.1,23.5
Redbridge,28.2,42.5
Richmond upon Thames,32.5,40.6
Southwark,11.6,22
Sutton,26.2,49.9
Tower Hamlets,7,19.9
Waltham Forest,22.2,37.3
Wandsworth,18.3,31.3
Westminster,16.4,18.7
Inner London,15.2,24.2
Outer London,26.8,40
London,22.1,33.4
