Code,Area,Period,Mean_Price,Median_Price
E09000001,City of London,Year ending Dec 1995,146043.21212,105000.0
E09000002,Barking and Dagenham,Year ending Dec 1995,50614.822581,49000.0
E09000003,Barnet,Year ending Dec 1995,111019.24191,85125.0
E09000004,Bexley,Year ending Dec 1995,66294.048105,62000.0
E09000005,Brent,Year ending Dec 1995,77257.720415,68000.0
E09000006,Bromley,Year ending Dec 1995,93440.900375,76625.0
E09000007,Camden,Year ending Dec 1995,151364.31952,114000.0
E09000008,Croydon,Year ending Dec 1995,71800.474388,60000.0
E09000009,Ealing,Year ending Dec 1995,91045.248525,75000.0
E09000010,Enfield,Year ending Dec 1995,78509.610436,66000.0
E09000011,Greenwich,Year ending Dec 1995,73079.411811,61500.0
E09000012,Hackney,Year ending Dec 1995,71606.806652,61975.0
E09000013,Hammersmith and Fulham,Year ending Dec 1995,137774.08492,109500.0
E09000014,Haringey,Year ending Dec 1995,89630.287874,66500.0
E09000015,Harrow,Year ending Dec 1995,90113.811732,79950.0
E09000016,Havering,Year ending Dec 1995,75225.947269,66375.0
E09000017,Hillingdon,Year ending Dec 1995,81488.619034,71000.0
E09000018,Hounslow,Year ending Dec 1995,89488.710037,73000.0
E09000019,Islington,Year ending Dec 1995,119917.36369,95000.0
E09000020,Kensington and Chelsea,Year ending Dec 1995,263461.67655,172750.0
E09000021,Kingston upon Thames,Year ending Dec 1995,97859.734574,81000.0
E09000022,Lambeth,Year ending Dec 1995,79653.881429,66000.0
E09000023,Lewisham,Year ending Dec 1995,61562.393142,55500.0
E09000024,Merton,Year ending Dec 1995,96343.882626,74450.0
E09000025,Newham,Year ending Dec 1995,47527.910558,46750.0
E09000026,Redbridge,Year ending Dec 1995,75002.896276,67995.0
E09000027,Richmond upon Thames,Year ending Dec 1995,138736.81245,108000.0
E09000028,Southwark,Year ending Dec 1995,84676.593585,71000.0
E09000029,Sutton,Year ending Dec 1995,76951.646503,67000.0
E09000030,Tower Hamlets,Year ending Dec 1995,76932.515081,67500.0
E09000031,Waltham Forest,Year ending Dec 1995,58120.094214,55000.0
E09000032,Wandsworth,Year ending Dec 1995,110954.72557,85500.0
E09000033,Westminster,Year ending Dec 1995,183338.06265,127550.0
E12000001,North East,Year ending Dec 1995,48970.251585,42250.0
E12000002,North West,Year ending Dec 1995,52590.343259,45000.0
E12000003,Yorkshire And The Humber,Year ending Dec 1995,52937.451578,45500.0
E12000004,East Midlands,Year ending Dec 1995,54223.743239,45950.0
E12000005,West Midlands,Year ending Dec 1995,59057.261596,49500.0
E12000006,East of England,Year ending Dec 1995,69224.672244,57500.0
E12000007,London,Year ending Dec 1995,97627.603694,72750.0
E12000008,South East,Year ending Dec 1995,82309.357017,65000.0
E12000009,South West,Year ending Dec 1995,65817.460985,55000.0
E92000001,England,Year ending Dec 1995,68669.990626,55000.0
W92000004,Wales,Year ending Dec 1995,50170.109517,44000.0
K04000001,England And Wales,Year ending Dec 1995,67883.060743,54950.0
E09000001,City of London,Year ending Mar 1996,148412.96512,112500.0
E09000002,Barking and Dagenham,Year ending Mar 1996,50588.820579,49995.0
E09000003,Barnet,Year ending Mar 1996,111311.50982,85000.0
E09000004,Bexley,Year ending Mar 1996,66236.516389,62000.0
E09000005,Brent,Year ending Mar 1996,78575.867353,69000.0
E09000006,Bromley,Year ending Mar 1996,94248.365688,77000.0
E09000007,Camden,Year ending Mar 1996,150180.21081,112000.0
E09000008,Croydon,Year ending Mar 1996,72144.5674,60000.0
E09000009,Ealing,Year ending Mar 1996,90305.84401,75000.0
E09000010,Enfield,Year ending Mar 1996,77818.84625,65000.0
E09000011,Greenwich,Year ending Mar 1996,73498.319023,60000.0
E09000012,Hackney,Year ending Mar 1996,73232.651097,64000.0
E09000013,Hammersmith and Fulham,Year ending Mar 1996,142206.70351,113000.0
E09000014,Haringey,Year ending Mar 1996,93065.740971,67000.0
E09000015,Harrow,Year ending Mar 1996,90960.344296,80000.0
E09000016,Havering,Year ending Mar 1996,75436.769326,66997.5
E09000017,Hillingdon,Year ending Mar 1996,81154.408537,71000.0
E09000018,Hounslow,Year ending Mar 1996,90183.795086,73000.0
E09000019,Islington,Year ending Mar 1996,118675.28902,95000.0
E09000020,Kensington and Chelsea,Year ending Mar 1996,268177.77277,175000.0
E09000021,Kingston upon Thames,Year ending Mar 1996,99118.127417,82500.0
E09000022,Lambeth,Year ending Mar 1996,81693.369553,67000.0
E09000023,Lewisham,Year ending Mar 1996,61390.175423,56000.0
E09000024,Merton,Year ending Mar 1996,97326.493613,75000.0
E09000025,Newham,Year ending Mar 1996,47468.646847,47000.0
E09000026,Redbridge,Year ending Mar 1996,74641.591011,67250.0
E09000027,Richmond upon Thames,Year ending Mar 1996,141172.05344,110000.0
E09000028,Southwark,Year ending Mar 1996,84118.611912,70000.0
E09000029,Sutton,Year ending Mar 1996,76046.694308,66500.0
E09000030,Tower Hamlets,Year ending Mar 1996,77990.501894,67500.0
E09000031,Waltham Forest,Year ending Mar 1996,58593.157095,55000.0
E09000032,Wandsworth,Year ending Mar 1996,111891.29189,87000.0
E09000033,Westminster,Year ending Mar 1996,183426.43515,128000.0
E12000001,North East,Year ending Mar 1996,48925.685381,42500.0
E12000002,North West,Year ending Mar 1996,52570.858358,45000.0
E12000003,Yorkshire And The Humber,Year ending Mar 1996,52907.943945,45500.0
E12000004,East Midlands,Year ending Mar 1996,54331.173637,45995.0
E12000005,West Midlands,Year ending Mar 1996,58970.52205,49500.0
E12000006,East of England,Year ending Mar 1996,68950.212076,57000.0
E12000007,London,Year ending Mar 1996,97991.339065,73000.0
E12000008,South East,Year ending Mar 1996,82491.894908,65250.0
E12000009,South West,Year ending Mar 1996,65662.475938,55000.0
