Borough,Own Outright,Buying with mortgage
Barking and Dagenham,21.5,34.3
Barnet,30.1,36.8
Bexley,32.6,45.3
Brent,23.9,30.2
Bromley,31.6,42.9
Camden,15.3,18.5
Croydon,26.7,40
Ealing,28.7,32.4
Enfield,27.3,35.9
Greenwich,16.6,35
Hackney,12.7,18.9
Hammersmith and Fulham,17.4,25.5
Haringey,19.8,27.9
Harrow,33.4,35.6
Havering,31,44.9
Hillingdon,29.3,39.8
Hounslow,25.3,36
Islington,13.6,23.3
Kensington and Chelsea,23.8,18.2
Kingston upon Thames,31.1,42.4
Lambeth,14.3,24.9
Lewisham,15.8,31.8
Merton,28.5,38.9
Newham,11.9,24.8
Redbridge,30.5,38.1
Richmond upon Thames,31.2,41.3
Southwark,13.7,25.1
Sutton,29.3,45
Tower Hamlets,6.8,19
Waltham Forest,20.1,36.9
Wandsworth,20.6,36.6
Westminster,17.1,18.3
Inner London,15.6,24.5
Outer London,27.9,38.4
London,22.7,32.6
