Year,Barking & Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith & Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington & Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster
Jan-06,"166,874","299,474","188,008","267,130","244,404","365,180","207,375","264,898","227,363","213,487","246,326","388,181","269,341","259,719","205,536","231,836","256,951","294,362","611,595","268,795","253,462","206,048","260,921","207,079","228,190","350,594","260,445","210,332","259,211","207,294","326,720","432,051"
Feb-06,"167,577","298,187","187,230","265,285","245,892","370,093","210,189","268,798","226,373","212,360","248,408","380,607","269,845","261,821","207,798","231,233","260,578","303,888","615,866","266,668","250,885","206,987","263,953","204,552","229,801","352,108","261,327","211,688","255,656","208,381","327,840","446,945"
Mar-06,"166,529","298,774","187,445","266,052","247,340","373,727","211,546","267,776","225,595","212,077","247,129","391,532","274,442","264,040","209,020","233,427","262,812","310,689","617,187","267,830","252,547","205,591","263,221","202,396","228,546","355,706","262,645","213,466","251,002","208,156","337,932","448,956"
Apr-06,"168,790","300,399","189,189","266,283","248,127","379,266","212,008","269,268","227,633","210,495","250,156","394,666","272,161","265,457","211,988","232,183","265,435","318,995","628,817","268,419","254,534","205,627","269,496","203,887","229,309","360,564","266,154","213,879","257,017","208,538","343,901","452,515"
May-06,"170,686","303,852","189,821","268,553","248,795","385,866","211,271","272,862","229,258","213,294","252,899","408,673","274,732","268,607","211,245","234,859","267,880","323,680","639,208","271,808","263,839","208,811","270,888","208,873","230,553","363,390","274,591","214,293","260,893","209,664","351,425","452,497"
Jun-06,"173,733","305,192","191,151","272,641","251,377","389,088","212,777","277,770","232,505","217,567","261,096","416,287","281,614","269,437","212,490","235,860","270,795","325,211","649,025","278,806","266,875","213,567","272,484","213,214","233,050","366,858","278,641","217,385","264,657","212,654","355,891","468,277"
Jul-06,"174,958","310,189","189,332","274,517","254,092","396,599","215,130","280,308","233,941","222,105","264,164","423,845","288,294","270,809","214,794","240,014","269,205","318,743","656,551","280,822","272,252","218,995","275,191","214,002","236,065","368,229","285,862","219,124","263,997","217,861","363,443","471,766"
Aug-06,"175,958","314,080","193,373","274,171","257,782","402,772","217,470","283,571","235,882","223,803","270,680","429,297","295,444","272,710","218,236","240,862","272,531","322,335","659,832","285,575","275,726","220,449","279,012","214,808","238,551","375,217","286,658","220,740","269,271","219,978","369,580","480,046"
Sep-06,"175,006","318,616","194,011","274,281","259,074","402,138","219,164","288,120","238,032","224,186","273,515","432,363","296,109","277,385","219,608","242,492","275,953","326,220","652,943","285,415","280,099","221,991","283,789","215,741","241,250","381,196","288,904","219,493","274,664","223,921","373,357","479,007"
Oct-06,"174,842","318,034","196,526","280,637","261,763","399,361","219,706","289,239","239,925","224,844","276,924","432,535","295,221","281,794","220,759","241,043","278,475","336,647","654,203","289,713","281,086","221,334","282,792","219,946","242,020","383,488","296,101","222,318","277,913","224,727","374,566","486,648"
Nov-06,"176,391","319,024","196,832","282,018","263,379","403,714","221,427","288,357","240,460","224,423","276,657","426,743","292,724","282,866","220,023","242,379","276,737","327,817","681,880","288,759","280,440","222,621","286,089","221,912","243,424","387,119","297,566","225,580","281,320","227,199","374,526","477,441"
Dec-06,"179,153","322,472","198,990","284,988","266,022","424,670","222,595","289,734","241,142","226,406","274,161","416,688","294,143","284,650","220,849","245,286","273,480","329,658","697,390","292,583","281,637","224,871","289,679","222,352","244,980","391,759","303,529","228,758","285,825","230,027","381,884","476,944"
Jan-07,"181,509","325,090","199,808","284,120","266,331","429,747","225,781","292,688","242,788","229,355","276,286","421,631","299,089","287,011","221,061","247,507","275,717","334,218","738,048","293,686","286,101","228,296","296,274","223,794","247,757","398,755","298,862","229,500","290,342","232,413","387,024","491,210"
Feb-07,"181,996","328,724","199,935","292,273","268,421","437,383","226,565","299,187","245,331","232,438","280,159","437,606","306,417","288,623","223,589","249,642","279,189","350,107","752,320","299,722","291,626","231,741","300,158","224,172","249,776","406,848","304,501","231,732","291,472","236,377","397,594","502,138"
Mar-07,"184,011","329,220","201,593","294,579","269,213","435,762","228,852","301,812","246,408","231,937","285,406","458,921","306,884","288,005","227,736","250,198","284,926","354,503","770,452","304,643","299,395","233,525","302,813","227,726","253,503","411,312","319,437","233,344","294,287","235,703","398,772","514,039"
Apr-07,"184,870","332,555","203,218","300,485","274,098","447,639","229,754","306,144","248,064","235,403","285,799","470,662","313,078","291,917","231,328","253,675","285,055","359,774","777,805","310,214","303,850","236,380","307,618","228,541","254,127","422,248","333,201","236,415","301,023","238,195","412,802","500,952"
May-07,"186,907","338,187","205,843","301,493","276,461","437,043","231,249","306,889","250,308","238,392","291,002","477,112","319,739","294,944","236,624","257,147","288,885","369,858","777,423","315,687","310,944","239,652","313,069","231,959","258,616","426,925","343,300","240,117","311,269","239,691","421,132","518,028"
Jun-07,"188,601","343,462","208,168","309,346","280,028","449,774","233,383","309,481","256,037","240,466","291,737","487,360","330,629","298,927","239,049","259,930","289,103","390,467","782,967","320,555","321,285","240,734","318,996","235,551","261,011","432,055","340,706","243,987","317,125","243,605","426,057","531,584"
Jul-07,"191,122","351,885","211,313","317,924","283,132","461,651","237,080","316,137","263,590","242,496","301,681","503,084","335,618","299,656","241,485","264,786","299,222","399,385","807,306","327,547","327,315","244,157","321,219","238,652","267,098","442,676","342,509","248,292","323,951","247,296","434,057","561,346"
Aug-07,"192,569","355,007","211,456","321,792","286,937","485,798","241,846","321,593","270,073","245,466","311,812","520,854","339,832","304,760","240,817","266,944","304,381","411,836","843,910","333,610","337,306","246,971","330,366","243,100","269,494","455,827","342,148","247,356","329,771","250,804","445,326","572,995"
Sep-07,"195,536","361,688","210,587","326,003","290,752","495,127","243,583","327,338","272,662","249,632","324,570","530,901","350,698","310,783","243,074","267,674","310,590","415,735","899,084","338,283","340,822","252,542","334,851","244,923","271,956","456,919","340,975","250,753","330,249","254,088","453,102","587,087"
Oct-07,"196,927","363,344","211,451","321,515","293,119","495,855","246,093","329,075","271,199","251,424","322,717","537,733","351,634","312,510","244,703","267,226","311,550","419,429","874,544","341,810","342,834","255,190","337,846","247,188","272,238","454,480","341,732","251,558","332,518","251,857","454,115","592,219"
Nov-07,"199,010","366,867","215,165","322,748","296,823","490,508","247,598","331,597","270,846","251,409","320,430","528,415","348,090","314,401","246,125","270,351","308,685","412,278","841,001","342,284","338,778","257,583","329,243","246,518","271,034","453,792","349,908","255,412","328,072","252,972","449,399","592,712"
Dec-07,"197,834","365,116","218,426","320,827","298,898","477,949","251,114","329,850","271,407","251,525","311,338","518,592","338,775","312,096","247,216","272,832","309,518","413,423","829,980","342,470","330,937","257,677","328,406","246,311","269,835","462,175","354,862","260,541","332,792","253,782","443,374","598,241"
Jan-09,"171,457","312,482","193,099","280,774","259,584","442,619","209,945","275,538","232,212","227,242","307,514","453,297","288,285","266,827","207,360","239,391","266,305","329,439","723,363","289,769","281,348","217,194","290,556","197,562","223,416","373,884","304,918","218,662","275,970","217,709","366,386","558,108"
Feb-09,"166,400","306,811","188,780","284,510","253,685","448,803","207,754","271,702","232,936","225,359","294,056","447,022","280,048","268,123","206,955","229,933","266,392","332,531","678,574","275,855","281,465","219,840","297,051","195,065","221,546","380,822","297,368","210,196","284,328","214,437","367,391","539,133"
Mar-09,"161,191","306,247","187,071","286,670","249,683","461,106","205,274","268,681","227,397","219,490","302,419","423,107","283,337","264,319","210,152","225,581","259,519","327,025","647,498","265,175","272,983","221,394","294,128","200,015","217,753","377,885","295,310","208,774","290,583","210,295","371,576","534,080"
Apr-09,"156,460","304,000","181,648","290,608","245,544","447,319","205,449","268,454","227,588","216,749","276,768","428,768","281,453","259,549","208,492","224,599","255,391","331,980","673,611","261,374","264,672","225,481","280,813","198,759","217,261","373,151","291,265","207,793","282,032","205,342","371,452","540,632"
May-09,"152,579","305,904","182,450","281,895","246,825","438,368","203,261","268,624","226,787","211,760","273,305","427,071","281,960","259,605","205,889","227,683","255,958","328,604","719,092","266,480","269,736","218,812","278,107","191,582","220,677","373,235","290,218","207,977","280,797","202,687","379,514","553,267"
Jun-09,"154,388","309,311","183,339","283,875","250,671","430,735","202,182","272,845","234,026","211,456","260,137","428,432","289,625","260,446","202,716","228,620","260,320","331,687","778,445","268,654","276,385","219,751","272,172","190,613","228,177","377,413","295,471","206,764","279,740","202,745","396,389","543,189"
Jul-09,"158,409","319,423","186,836","279,000","252,792","446,884","202,879","282,155","236,715","212,398","280,330","435,400","299,000","264,646","205,980","230,767","266,818","339,731","833,396","275,238","289,613","218,602","279,105","193,266","232,407","384,918","298,557","210,186","271,410","204,536","405,408","556,990"
Aug-09,"160,637","323,597","189,652","283,407","252,961","462,699","204,238","287,573","241,106","218,774","286,783","457,376","302,343","271,250","208,695","233,184","275,546","355,596","846,617","282,453","292,464","223,733","290,293","199,023","234,394","395,030","304,888","214,839","263,928","208,772","402,464","554,879"
Sep-09,"160,179","329,530","191,205","279,241","255,474","470,662","206,746","296,793","240,829","225,987","300,863","475,659","310,903","277,865","210,167","237,754","278,967","369,140","825,920","292,642","296,202","226,979","299,536","196,602","233,964","403,539","312,498","219,575","271,942","214,390","402,037","588,646"
Oct-09,"161,050","328,788","193,411","287,421","258,872","466,786","207,969","300,135","242,653","230,796","304,195","475,709","317,434","278,100","211,244","242,455","278,466","371,747","797,151","297,441","302,850","231,788","301,290","196,915","237,948","414,994","310,962","220,945","289,801","217,647","406,422","598,398"
Nov-09,"161,665","329,848","194,439","289,661","261,487","445,187","209,437","298,332","243,191","232,147","310,619","475,714","318,196","278,071","214,004","244,940","276,800","367,394","815,492","298,247","304,700","233,293","300,310","198,246","236,798","419,359","309,701","222,992","306,398","220,267","410,371","609,256"
Dec-09,"165,382","331,191","196,618","293,736","263,122","442,139","213,262","299,114","243,914","232,871","304,758","484,531","310,044","280,881","215,510","248,008","279,422","361,248","816,958","298,497","301,854","233,940","300,639","202,198","239,291","427,961","306,001","224,605","304,924","220,437","406,836","611,394"
Jan-10,"167,455","336,166","197,732","294,571","265,216","450,196","214,837","303,029","247,206","233,712","305,856","502,271","317,164","286,005","215,949","246,703","284,717","368,702","859,776","305,123","305,989","234,575","305,942","203,356","240,720","436,957","316,385","228,450","304,977","221,775","408,671","633,849"
Feb-10,"167,576","338,361","201,278","298,989","267,763","475,997","220,626","308,002","251,606","234,376","308,574","508,465","323,956","288,144","219,533","246,466","287,527","382,679","842,465","301,897","306,982","237,503","303,172","205,563","243,952","446,833","326,596","232,880","306,989","226,508","421,263","652,174"
Mar-10,"167,379","344,596","202,286","304,780","269,341","494,116","222,526","308,920","254,080","236,809","307,364","504,257","330,838","291,691","219,940","246,012","288,621","389,690","888,269","311,633","315,847","241,969","311,797","208,894","243,340","449,812","330,869","237,734","313,882","229,543","428,215","645,945"
Apr-10,"167,302","347,865","202,733","310,403","271,506","494,982","225,940","305,602","253,897","235,369","308,192","505,517","327,574","294,830","220,960","250,681","286,534","394,149","885,955","310,886","315,047","239,882","314,596","211,232","239,817","442,490","338,052","237,433","317,206","232,335","434,925","627,840"
May-10,"169,508","351,273","199,914","311,669","275,497","485,551","223,338","306,765","253,836","238,200","304,416","511,514","334,163","298,326","221,691","252,007","287,184","393,614","925,945","322,597","318,281","240,031","322,217","212,951","237,787","438,359","339,780","239,295","312,681","230,616","437,341","615,345"
Jun-10,"171,816","351,058","199,802","310,303","277,317","487,877","222,340","307,197","257,165","238,048","315,870","525,901","341,510","297,496","223,079","256,398","287,833","400,345","888,870","318,918","319,015","236,932","323,345","213,393","238,204","440,983","350,209","237,873","311,135","227,247","442,800","631,849"
Jul-10,"173,371","356,801","200,246","313,402","278,537","519,184","220,854","313,817","261,209","246,940","314,851","535,005","346,987","301,116","226,538","257,718","296,131","403,343","914,950","326,865","325,115","239,452","326,763","217,273","243,352","445,252","350,588","238,217","308,377","230,187","448,010","637,362"
Aug-10,"174,970","362,563","201,930","319,542","280,872","544,698","222,904","318,999","263,499","251,407","318,460","546,375","346,311","303,782","227,952","260,507","300,564","405,803","894,150","330,059","330,665","242,178","328,153","217,136","249,587","448,424","352,840","235,595","312,037","229,762","445,148","657,641"
Sep-10,"175,008","368,858","202,864","323,300","281,671","545,103","223,982","322,277","261,547","253,221","317,769","548,235","350,454","305,186","228,015","262,617","308,214","412,738","934,712","335,715","328,777","243,286","332,093","220,117","257,725","451,997","348,618","235,860","309,656","234,518","437,605","662,611"
Oct-10,"175,055","364,894","200,651","322,328","281,153","535,436","224,039","323,866","260,299","247,991","314,906","534,827","345,700","307,105","228,831","260,582","297,843","407,441","929,505","329,324","323,779","240,686","332,958","217,854","260,268","449,420","341,093","236,964","311,788","231,415","427,527","668,643"
Nov-10,"173,977","362,446","200,642","319,970","280,286","527,874","220,871","320,866","259,835","243,857","306,858","516,690","349,252","305,850","225,828","260,420","293,839","413,016","949,842","326,181","314,896","239,297","327,620","218,431","260,228","447,061","336,200","237,168","307,598","230,552","412,193","657,174"
Dec-10,"171,135","355,342","200,346","317,065","279,600","538,680","217,827","320,151","261,793","242,643","305,060","503,259","342,274","307,820","224,760","255,749","289,937","408,265","957,213","327,053","313,089","236,792","319,667","217,382","259,331","449,913","339,707","235,109","308,267","227,518","412,242","649,230"
Jan-11,"168,397","358,068","200,369","315,354","279,893","535,129","216,959","320,057","261,698","243,139","304,203","502,728","339,672","303,193","221,139","257,520","293,376","417,233","931,014","332,121","310,814","240,685","320,129","218,042","260,676","455,995","353,108","233,937","311,115","224,928","421,038","636,341"
Feb-11,"167,022","360,241","200,393","312,181","276,070","537,530","217,051","322,826","258,772","241,985","310,751","507,042","345,565","304,353","219,034","258,239","296,765","408,864","913,219","328,183","314,176","241,635","318,948","214,716","261,933","460,037","361,082","236,866","314,624","225,895","430,790","641,304"
Mar-11,"166,175","366,218","198,328","314,490","275,340","542,307","216,514","320,689","255,192","238,870","304,410","519,576","344,712","302,494","218,428","259,289","300,582","411,469","951,677","323,870","314,311","240,486","321,407","211,034","261,661","451,760","357,330","237,517","319,745","223,628","440,044","669,250"
Apr-11,"166,937","361,109","201,053","318,699","275,898","551,082","216,944","321,886","252,920","240,442","314,568","535,969","352,594","304,584","219,199","258,016","303,020","428,455","1,038,196","317,457","319,604","241,692","319,497","209,677","254,843","452,859","349,912","236,139","321,563","225,648","443,600","691,706"
May-11,"167,248","355,660","201,333","322,545","281,181","539,408","216,380","318,933","249,053","245,689","312,799","548,316","343,784","301,838","222,498","256,779","303,649","425,010","1,016,213","323,959","321,216","236,731","325,169","213,256","252,296","454,216","349,013","233,882","318,504","226,474","450,873","688,088"
Jun-11,"166,837","350,308","201,067","322,002","280,007","540,074","217,085","323,371","249,384","246,520","315,292","550,469","347,725","302,079","225,185","255,434","300,385","425,444","986,498","323,293","325,952","237,685","324,766","216,229","251,651","452,758","356,588","230,807","309,720","226,282","451,239","665,606"
Jul-11,"165,389","352,426","199,894","323,302","280,285","542,147","218,220","325,067","251,405","243,830","319,212","540,632","356,770","299,496","226,306","256,327","301,709","417,541","949,297","328,277","326,105","237,449","327,929","217,052","257,570","455,710","370,936","233,029","304,446","228,336","446,938","670,558"
Aug-11,"168,043","354,506","199,480","324,813","277,346","558,293","218,866","328,810","259,099","242,157","322,981","539,161","367,617","301,002","222,597","257,525","305,276","431,439","987,666","330,179","334,643","245,946","335,107","218,259","259,942","461,324","380,135","232,613","309,614","226,774","454,405","685,335"
Sep-11,"171,525","359,713","202,293","330,567","280,876","570,963","220,611","329,262","262,054","245,144","334,070","543,877","370,559","302,599","222,102","258,326","306,032","439,408","1,007,445","332,917","336,099","248,977","341,783","221,530","259,969","476,707","374,928","237,222","317,074","231,629","450,606","690,427"
Oct-11,"172,171","361,355","202,901","328,490","282,071","568,044","219,706","325,509","262,082","242,491","327,870","553,349","355,761","304,673","223,399","260,332","304,627","432,144","991,839","335,034","338,765","247,662","338,839","221,927","256,492","476,019","364,324","237,596","318,995","232,261","446,086","675,458"
Nov-11,"169,451","367,379","201,372","330,175","282,826","561,635","221,836","320,531","261,439","239,161","334,455","558,028","344,998","307,724","226,249","260,726","296,865","430,037","1,028,725","332,726","332,509","241,675","329,555","222,021","255,587","470,324","352,074","238,122","320,643","232,816","437,892","676,223"
Dec-11,"167,174","367,698","199,518","325,344","283,665","542,413","220,831","324,278","261,140","236,008","329,394","545,965","341,053","306,259","226,538","264,053","294,190","425,531","994,969","336,366","331,438","242,966","322,979","219,920","255,217","463,780","359,498","239,235","318,010","232,475","443,683","678,691"
Jan-12,"168,477","372,606","197,421","333,737","280,792","543,166","220,223","325,985","260,429","240,867","335,152","527,666","343,415","306,845","223,905","261,290","292,363","428,364","1,005,871","334,820","330,013","245,246","322,470","223,083","253,066","461,340","363,356","237,021","316,100","231,367","456,738","694,391"
Feb-12,"168,177","373,420","199,180","329,105","283,283","545,567","220,932","329,862","256,191","243,042","321,270","536,607","347,356","305,034","223,376","262,884","296,249","434,007","1,010,209","334,887","335,443","248,142","325,203","219,884","254,073","469,080","365,752","236,497","309,192","232,544","449,456","695,917"
Mar-12,"169,030","369,775","198,633","329,441","280,780","563,532","221,227","326,662","252,906","245,263","320,137","549,151","350,320","302,710","223,212","259,767","292,941","436,105","1,018,429","328,530","336,717","247,633","326,929","221,190","253,879","469,685","364,635","236,085","304,499","231,358","446,754","683,061"
Apr-12,"169,332","372,468","199,587","320,778","282,132","569,457","224,302","326,108","253,790","246,754","321,851","574,283","356,022","304,962","222,312","261,528","295,922","440,813","1,050,310","329,128","341,391","246,160","328,116","218,629","258,257","472,657","365,370","237,674","302,374","232,932","441,588","691,485"
May-12,"171,153","374,927","200,110","325,521","282,553","570,482","224,895","332,662","256,605","249,195","327,462","572,225","362,620","303,376","222,961","262,895","298,177","453,648","1,054,551","335,774","346,768","251,989","334,343","222,850","261,684","473,952","381,805","240,414","300,543","236,364","462,124","706,917"
Jun-12,"172,743","383,623","202,545","337,016","286,833","569,841","226,422","344,220","261,903","252,043","332,068","589,168","367,752","311,710","223,350","265,401","304,083","454,714","1,115,324","340,071","356,774","254,970","340,579","221,945","262,703","484,929","391,472","241,371","309,999","240,165","470,216","749,177"
Jul-12,"172,700","384,332","203,969","349,069","289,298","594,658","225,378","352,327","263,008","254,672","335,418","601,301","368,782","310,149","225,824","268,599","309,281","435,361","1,117,566","343,301","358,908","258,159","345,723","226,166","265,217","497,166","402,097","243,834","311,173","244,503","484,203","756,785"
Aug-12,"170,821","384,598","205,191","359,817","291,867","608,542","225,107","353,733","267,708","254,872","344,295","613,692","374,012","317,620","224,270","269,505","311,049","424,270","1,128,280","346,941","362,266","258,406","348,633","224,613","264,838","499,599","392,443","241,699","318,743","243,700","489,761","786,346"
Sep-12,"169,921","389,395","205,404","348,918","289,888","607,610","226,131","348,872","270,010","254,103","348,934","609,851","378,627","318,201","226,205","272,914","314,097","430,177","1,144,974","350,263","357,992","263,807","348,861","223,795","268,033","494,172","389,533","244,061","317,437","242,815","493,087","777,080"
Oct-12,"169,945","388,778","205,913","344,327","291,028","588,814","226,705","348,636","271,218","253,575","345,588","625,441","380,135","324,645","226,463","275,338","313,699","446,708","1,165,705","354,797","362,294","265,833","351,086","221,145","268,218","484,076","382,491","245,134","322,807","239,047","483,143","782,472"
Nov-12,"171,159","387,557","205,586","338,868","290,625","590,570","227,532","352,426","272,022","253,141","351,955","615,288","376,486","320,550","228,700","275,689","312,355","462,024","1,159,659","349,702","357,992","262,748","343,694","220,952","264,396","490,093","385,900","247,004","322,711","239,518","476,726","775,035"
Dec-12,"172,500","383,309","206,950","347,350","293,667","614,412","229,888","350,161","270,785","255,292","354,239","633,324","375,767","317,963","226,968","273,896","311,959","462,361","1,130,506","354,202","360,139","260,368","347,467","224,119","259,989","494,483","401,488","246,722","324,637","244,522","482,703","792,032"
Jan-13,"172,609","384,910","209,186","351,215","291,800","621,533","228,960","347,741","273,998","256,926","362,867","622,856","378,071","313,653","223,309","272,465","309,504","477,517","1,155,084","353,480","355,048","257,377","352,443","225,971","258,213","502,792","395,460","246,237","322,706","244,565","492,698","782,951"
Feb-13,"174,194","385,105","210,770","349,133","290,635","645,756","227,310","344,802","270,434","258,357","364,941","640,412","382,534","316,556","223,335","269,524","307,481","467,419","1,147,792","354,987","364,932","259,510","356,557","227,412","258,948","502,994","406,645","245,941","323,403","247,701","504,943","779,527"
Mar-13,"174,146","385,837","210,524","348,277","289,058","629,019","226,606","344,070","271,057","260,672","367,051","639,000","387,959","318,184","223,486","268,589","316,431","473,944","1,164,680","355,684","370,630","260,296","351,091","228,545","263,050","503,679","380,916","245,760","315,233","247,444","498,721","777,096"
Apr-13,"174,715","383,878","210,858","351,957","292,149","643,322","227,888","351,607","266,566","260,790","369,206","632,655","387,032","317,879","226,180","270,086","324,937","475,342","1,128,674","359,322","375,897","266,626","350,166","230,074","262,268","510,354","401,489","245,576","320,374","252,365","506,125","820,418"
May-13,"175,237","386,773","210,201","354,309","294,505","645,239","233,543","354,243","269,208","263,837","370,297","641,525","389,387","319,694","228,415","275,242","333,479","479,437","1,175,688","364,563","371,050","268,631","353,960","231,623","263,434","512,220","406,042","250,934","321,753","258,148","504,235","836,048"
Jun-13,"177,474","390,080","210,383","360,471","299,324","665,011","237,970","363,866","270,890","262,701","374,442","630,138","377,528","322,715","228,200","279,053","329,835","486,174","1,214,509","360,406","375,912","272,738","363,523","234,837","265,657","519,395","422,860","253,225","334,018","260,043","514,416","843,591"
Jul-13,"179,481","400,439","209,979","362,510","302,276","678,769","241,475","368,256","276,593","265,784","380,617","648,881","391,447","329,374","230,477","279,687","331,093","491,355","1,254,637","359,196","386,740","273,908","370,969","234,180","272,654","521,057","419,572","256,170","336,393","264,907","522,646","836,088"
Aug-13,"178,572","405,225","213,348","374,897","306,980","700,587","243,437","371,566","283,087","268,874","392,378","648,285","402,948","332,445","229,567","278,913","336,994","505,351","1,286,758","359,956","393,217","280,937","381,940","234,894","275,889","535,300","417,871","257,641","339,601","266,984","536,326","828,629"
Sep-13,"179,642","408,695","216,042","380,892","308,811","698,998","243,437","373,219","285,077","273,423","408,202","679,929","427,836","333,681","232,285","280,365","341,182","510,934","1,317,577","368,770","404,038","287,553","389,641","234,056","277,977","540,781","429,794","259,366","342,350","273,327","556,164","865,547"
Oct-13,"181,759","409,039","218,828","383,526","311,725","683,313","245,585","369,947","288,261","274,955","406,084","687,513","429,075","335,031","234,581","284,118","344,953","515,918","1,268,654","373,905","414,816","294,723","383,833","233,577","278,717","544,129","434,009","263,347","356,246","275,107","552,033","887,160"
Nov-13,"186,990","414,310","219,384","389,258","314,515","656,356","246,474","373,656","287,256","278,419","411,178","687,311","428,023","338,090","236,854","286,463","341,929","529,496","1,264,604","377,854","421,832","297,864","381,603","238,225","280,050","537,300","434,163","264,839","372,948","277,826","553,830","908,881"
