Year,Area,Number of Individuals,Mean £,Median £
2006,City of London,"10,000","99,200","49,000"
2006,Barking and Dagenham,"77,000","20,600","17,600"
2006,Barnet,"173,000","36,700","20,400"
2006,Bexley,"123,000","24,600","19,600"
2006,Brent,"144,000","24,600","18,200"
2006,Bromley,"177,000","32,800","23,000"
2006,Camden,"101,000","60,200","25,900"
2006,Croydon,"171,000","27,200","20,700"
2006,Ealing,"159,000","28,700","19,900"
2006,Enfield,"139,000","27,100","19,500"
2006,Greenwich,"118,000","27,400","19,200"
2006,Hackney,"99,000","25,300","18,400"
2006,Hammersmith and Fulham,"92,000","46,200","22,800"
2006,Haringey,"114,000","32,500","19,000"
2006,Harrow,"119,000","30,800","21,400"
2006,Havering,"132,000","26,100","20,400"
2006,Hillingdon,"128,000","27,600","21,200"
2006,Hounslow,"124,000","27,800","19,100"
2006,Islington,"96,000","41,400","23,100"
2006,Kensington and Chelsea,"73,000","122,000","27,500"
2006,Kingston-upon-Thames,"85,000","34,300","22,900"
2006,Lambeth,"145,000","30,900","21,600"
2006,Lewisham,"124,000","25,800","20,900"
2006,Merton,"104,000","37,200","21,600"
2006,Newham,"115,000","19,600","15,800"
2006,Redbridge,"126,000","28,300","20,700"
2006,Richmond-upon-Thames,"99,000","52,500","27,300"
2006,Southwark,"136,000","31,800","20,400"
2006,Sutton,"99,000","28,400","21,400"
2006,Tower Hamlets,"103,000","33,500","19,400"
2006,Waltham Forest,"115,000","23,100","17,900"
2006,Wandsworth,"162,000","45,400","25,300"
2006,Westminster,"108,000","73,600","27,000"
2006,,,,
2006,North East,"1,330,000","21,000","16,300"
2006,North West,"3,450,000","22,300","16,600"
2006,Yorkshire and The Humber,"2,590,000","22,100","16,600"
2006,East Midlands,"2,300,000","22,900","17,000"
2006,West Midlands,"2,710,000","22,600","17,000"
2006,East of England,"3,010,000","27,000","18,700"
2006,London,"3,890,000","34,700","20,800"
2006,South East,"4,580,000","29,500","19,600"
2006,South West,"2,760,000","23,200","17,200"
2006,,,,
2006,England,"26,600,000","26,000","17,900"
2006,Wales,"1,480,000","20,700","16,100"
2006,Scotland,"2,700,000","23,500","17,500"
2006,Northern Ireland,"785,000","22,000","16,600"
2006,,,,
2006,United Kingdom,"31,800,000","25,500","17,700"
,,,,
2007,City of London,"10,000","102,000","58,500"
2007,Barking and Dagenham,"78,000","21,300","18,600"
2007,Barnet,"173,000","38,700","22,000"
2007,Bexley,"123,000","26,700","19,800"
2007,Brent,"161,000","24,700","18,300"
2007,Bromley,"181,000","34,400","23,200"
2007,Camden,"107,000","69,800","26,900"
2007,Croydon,"179,000","28,100","20,900"
2007,Ealing,"169,000","30,000","20,200"
2007,Enfield,"145,000","28,100","19,900"
2007,Greenwich,"118,000","29,900","20,500"
2007,Hackney,"93,000","27,900","20,900"
2007,Hammersmith and Fulham,"103,000","48,600","23,600"
2007,Haringey,"124,000","31,900","19,800"
2007,Harrow,"120,000","32,400","22,100"
2007,Havering,"133,000","27,100","20,800"
2007,Hillingdon,"133,000","27,900","21,800"
2007,Hounslow,"129,000","29,000","20,400"
2007,Islington,"105,000","43,300","24,400"
2007,Kensington and Chelsea,"74,000","151,000","31,900"
2007,Kingston-upon-Thames,"82,000","38,200","25,200"
2007,Lambeth,"147,000","33,300","22,200"
2007,Lewisham,"137,000","27,100","21,000"
2007,Merton,"113,000","39,400","22,300"
2007,Newham,"122,000","21,000","16,500"
2007,Redbridge,"128,000","29,100","21,600"
2007,Richmond-upon-Thames,"104,000","56,900","29,100"
2007,Southwark,"136,000","36,000","21,900"
2007,Sutton,"100,000","30,000","22,500"
2007,Tower Hamlets,"103,000","37,400","21,200"
2007,Waltham Forest,"121,000","23,200","18,200"
2007,Wandsworth,"167,000","49,500","26,100"
2007,Westminster,"111,000","82,600","29,200"
2007,,,,
2007,North East,"1,320,000","22,100","17,100"
2007,North West,"3,490,000","23,300","17,400"
2007,Yorkshire and The Humber,"2,580,000","23,100","17,400"
2007,East Midlands,"2,340,000","23,900","17,900"
2007,West Midlands,"2,750,000","23,400","17,600"
2007,East of England,"3,070,000","28,200","19,400"
2007,London,"4,030,000","37,400","21,800"
2007,South East,"4,660,000","30,900","20,400"
2007,South West,"2,860,000","24,300","18,000"
2007,,,,
2007,England,"27,100,000","27,400","18,700"
2007,Wales,"1,510,000","21,700","16,900"
2007,Scotland,"2,780,000","24,600","18,200"
2007,Northern Ireland,"801,000","23,000","17,300"
2007,,,,
2007,United Kingdom,"32,500,000","26,800","18,500"
,,,,
2009,City of London,"9,000","137,000","61,900"
2009,Barking and Dagenham,"76,000","23,100","19,400"
2009,Barnet,"167,000","41,600","24,300"
2009,Bexley,"117,000","27,600","22,100"
2009,Brent,"145,000","26,100","19,600"
2009,Bromley,"163,000","36,500","24,900"
2009,Camden,"103,000","68,900","28,400"
2009,Croydon,"166,000","29,700","23,100"
2009,Ealing,"156,000","32,400","21,800"
2009,Enfield,"134,000","30,600","22,100"
2009,Greenwich,"113,000","32,800","21,400"
2009,Hackney,"102,000","29,800","22,200"
2009,Hammersmith and Fulham,"93,000","52,900","26,700"
2009,Haringey,"118,000","35,100","21,800"
2009,Harrow,"119,000","33,300","22,800"
2009,Havering,"123,000","29,700","22,000"
2009,Hillingdon,"131,000","29,300","23,000"
2009,Hounslow,"124,000","31,800","22,000"
2009,Islington,"98,000","48,400","27,100"
2009,Kensington and Chelsea,"70,000","161,000","34,100"
2009,Kingston-upon-Thames,"78,000","39,200","25,600"
2009,Lambeth,"149,000","35,400","24,000"
2009,Lewisham,"117,000","28,700","22,300"
2009,Merton,"106,000","44,000","24,100"
2009,Newham,"118,000","21,900","17,600"
2009,Redbridge,"124,000","30,200","22,300"
2009,Richmond-upon-Thames,"101,000","58,900","30,800"
2009,Southwark,"127,000","36,800","23,300"
2009,Sutton,"98,000","30,000","23,200"
2009,Tower Hamlets,"110,000","38,300","24,500"
2009,Waltham Forest,"119,000","24,800","20,600"
2009,Wandsworth,"157,000","52,800","29,200"
2009,Westminster,"103,000","93,500","31,900"
2009,,0,,
2009,North East,"1,190,000","23,900","18,400"
2009,North West,"3,300,000","24,900","18,500"
2009,Yorkshire and The Humber,"2,410,000","24,600","18,200"
