Borough,Own Outright,Buying with mortgage
Barking and Dagenham,22,26.9
Barnet,31.7,29.3
Bexley,35.8,38.7
Brent,21.9,25.4
Bromley,30.8,36.8
Camden,22,14.5
Croydon,26.2,37
Ealing,29.9,33.3
Enfield,30.1,24.7
Greenwich,21.6,32.6
Hackney,11.3,18.3
Hammersmith and Fulham,23.1,19
Haringey,25.5,23
Harrow,32.4,29.5
Havering,30.8,39
Hillingdon,24,37.8
Hounslow,24.3,32.4
Islington,19.9,18.6
Kensington and Chelsea,26.2,11.7
Kingston upon Thames,33.1,30.6
Lambeth,15.7,24.2
Lewisham,14.8,34.4
Merton,28.7,32.8
Newham,18.6,23
Redbridge,27.7,33.5
Richmond upon Thames,34.9,34.3
Southwark,13,23.6
Sutton,32.8,36.4
Tower Hamlets,13.7,18.2
Waltham Forest,23,38.4
Wandsworth,20.9,33.4
Westminster,24.9,12.2
Inner London,18.8,21.6
Outer London,28.4,33.2
London,24.4,28.3
